,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,carAge,price_per_kilometer
2047,Maruti Ritz VXi,2009,200000,120000,Petrol,Individual,Manual,First Owner,18,1197,85,5,16,1.6666666666666667
2048,Maruti Swift VXI,2018,550000,24400,Petrol,Individual,Manual,First Owner,22,1197,81,5,7,22.540983606557376
2049,Mahindra Bolero 2011-2019 SLX,2013,400000,60000,Diesel,Individual,Manual,Second Owner,15,2523,62,7,12,6.666666666666667
2050,Maruti Ritz VXi (ABS) BS IV,2010,170000,120000,Petrol,Individual,Manual,Second Owner,18,1197,85,5,15,1.4166666666666667
2051,Hyundai Verna 1.4 CRDi,2015,600000,60000,Diesel,Individual,Manual,Second Owner,24,1396,88,5,10,10.0
2052,Maruti Alto LXi,2011,130000,100000,Petrol,Individual,Manual,Second Owner,19,796,46,5,14,1.3
2053,Hyundai Santro Xing GL PLUS CNG,2007,120000,60000,CNG,Individual,Manual,Second Owner,19,1430,87,5,18,2.0
2054,Maruti 800 AC,2011,100000,120000,Petrol,Individual,Manual,Second Owner,16,796,37,4,14,0.8333333333333334
2055,Renault KWID RXT,2016,310000,27500,Petrol,Individual,Manual,First Owner,25,799,53,5,9,11.272727272727273
2056,Maruti 800 AC,2007,35000,10000,Petrol,Individual,Manual,First Owner,16,796,37,4,18,3.5
2057,Hyundai i20 Magna,2010,200000,120000,Petrol,Individual,Manual,Third Owner,18,1197,80,5,15,1.6666666666666667
2058,Maruti Swift VDI BSIV,2009,270000,70000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,16,3.857142857142857
2059,Hyundai i20 Sportz 1.4 CRDi,2015,650000,80000,Diesel,Individual,Manual,First Owner,22,1396,88,5,10,8.125
2060,Tata Indigo eCS GLS,2013,210000,120000,Petrol,Individual,Manual,First Owner,15,1193,64,5,12,1.75
2061,Hyundai Xcent 1.1 CRDi S Option,2015,509999,90000,Diesel,Individual,Manual,First Owner,24,1120,71,5,10,5.666655555555556
2062,Ford Figo Diesel Celebration Edition,2013,229999,70000,Diesel,Individual,Manual,First Owner,20,1399,68,5,12,3.2857
2063,Renault Duster 110PS Diesel RxZ,2014,409999,188000,Diesel,Individual,Manual,Second Owner,19,1461,108,5,11,2.180845744680851
2064,Chevrolet Spark 1.0 LT,2011,130000,67840,Petrol,Individual,Manual,First Owner,18,995,62,5,14,1.9162735849056605
2065,Tata Nano CX,2013,95000,30000,Petrol,Individual,Manual,First Owner,25,624,37,4,12,3.1666666666666665
2066,Maruti Alto 800 LXI,2016,225000,35000,Petrol,Individual,Manual,Second Owner,22,796,47,5,9,6.428571428571429
2067,Maruti Swift VDI BSIV,2010,256999,150000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,15,1.7133266666666667
2068,Maruti Vitara Brezza VDi Option,2017,775000,100000,Diesel,Individual,Manual,First Owner,24,1248,88,5,8,7.75
2069,Maruti Wagon R VXI BS IV,2017,420000,30000,Petrol,Individual,Manual,First Owner,20,998,67,5,8,14.0
2070,Hyundai Grand i10 Sportz Celebration Edition,2016,480000,70000,Petrol,Individual,Manual,First Owner,18,1197,82,5,9,6.857142857142857
2071,Toyota Qualis GS G1,2003,200000,149032,Diesel,Individual,Manual,First Owner,19,1430,87,5,22,1.3419936657898974
2072,Mahindra Bolero SLE,2010,260000,380000,Diesel,Individual,Manual,Second Owner,13,2523,63,7,15,0.6842105263157895
2073,Toyota Etios Liva G,2011,210000,84050,Petrol,Individual,Manual,First Owner,19,1430,87,5,14,2.498512790005949
2074,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,600000,15000,Petrol,Individual,Manual,First Owner,16,1199,74,5,7,40.0
2075,Ford Ikon 1.4 TDCi DuraTorq,2009,140000,140000,Diesel,Individual,Manual,Second Owner,13,1399,68,5,16,1.0
2076,Maruti Omni 8 Seater BSII,2010,130000,120000,Petrol,Individual,Manual,Third Owner,19,796,35,8,15,1.0833333333333333
2077,Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,25,1248,74,5,18,1.7274982282069453
2078,Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,19,1405,70,5,12,1.5555555555555556
2079,Maruti Wagon R LX,2006,130000,80000,Petrol,Individual,Manual,Third Owner,18,998,67,5,19,1.625
2080,Chevrolet Beat LT,2012,141000,128000,Petrol,Individual,Manual,Third Owner,18,1199,79,5,13,1.1015625
2081,Mahindra Bolero SLE BSIII,2011,280000,120000,Diesel,Individual,Manual,First Owner,13,2523,63,7,14,2.3333333333333335
2082,Maruti SX4 ZXI AT Leather,2010,350000,30000,Petrol,Individual,Automatic,First Owner,12,1586,103,5,15,11.666666666666666
2083,Tata Nexon 1.2 Revotron XM,2018,575000,70000,Petrol,Individual,Manual,First Owner,17,1198,108,5,7,8.214285714285714
2084,Hyundai i20 Sportz Option 1.2,2015,550000,41000,Petrol,Individual,Manual,First Owner,18,1197,81,5,10,13.414634146341463
2085,Toyota Etios V,2011,420000,28100,Petrol,Individual,Manual,First Owner,19,1430,87,5,14,14.946619217081851
2086,Maruti Alto LX,2006,120000,30000,Petrol,Individual,Manual,Second Owner,19,796,46,5,19,4.0
2087,Maruti Alto K10 VXI,2015,320000,30000,Petrol,Individual,Manual,First Owner,23,998,67,5,10,10.666666666666666
2088,Hyundai Accent Executive,2011,250000,35000,Petrol,Individual,Manual,First Owner,16,1495,93,5,14,7.142857142857143
2089,Maruti SX4 Zxi BSIII,2010,300000,22000,Petrol,Individual,Manual,First Owner,15,1586,104,5,15,13.636363636363637
2090,Maruti Wagon R VXI,2006,250000,70000,Petrol,Individual,Manual,First Owner,18,998,67,5,19,3.5714285714285716
2091,Maruti Omni E 8 Str STD,2005,120000,100000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,20,1.2
2092,Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,750000,70000,Diesel,Individual,Manual,First Owner,16,1493,70,7,7,10.714285714285714
2093,Mahindra Scorpio 2.6 CRDe,2005,151000,200000,Diesel,Individual,Manual,Second Owner,10,2179,120,8,20,0.755
2094,Tata Safari DICOR 2.2 EX 4x2,2011,300000,120000,Diesel,Individual,Manual,First Owner,13,2179,138,7,14,2.5
2095,Maruti Ignis 1.2 Zeta BSIV,2019,577000,3000,Petrol,Individual,Manual,First Owner,20,1197,81,5,6,192.33333333333334
2096,Maruti Alto K10 2010-2014 VXI,2012,229999,50000,Petrol,Individual,Manual,First Owner,20,998,67,5,13,4.59998
2097,Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,Diesel,Individual,Manual,First Owner,15,2523,62,7,12,10.0
2098,Honda Jazz VX CVT,2019,840000,1500,Petrol,Individual,Automatic,First Owner,18,1199,88,5,6,560.0
2099,Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,Diesel,Individual,Manual,First Owner,22,1498,108,5,8,12.162162162162161
2100,Honda Jazz 1.2 V i VTEC,2017,650000,25000,Petrol,Individual,Manual,First Owner,18,1199,88,5,8,26.0
2101,Honda Jazz 1.5 VX i DTEC,2016,650000,61915,Diesel,Individual,Manual,First Owner,27,1498,98,5,9,10.498263748687718
2102,Hyundai EON Era Plus,2016,250000,110000,Petrol,Individual,Manual,First Owner,21,814,55,5,9,2.272727272727273
2103,Volkswagen Polo 1.5 TDI Comfortline,2016,550000,70000,Diesel,Individual,Manual,First Owner,20,1498,88,5,9,7.857142857142857
2104,Maruti Swift Ldi BSIII,2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,17,1248,75,5,18,1.6666666666666667
2105,Mahindra Quanto C4,2013,350000,110000,Diesel,Individual,Manual,Second Owner,17,1493,100,7,12,3.1818181818181817
2106,Chevrolet Beat Diesel LT,2014,185000,90000,Diesel,Individual,Manual,Second Owner,25,936,56,5,11,2.0555555555555554
2107,Ford Figo Petrol Titanium,2010,229999,120000,Petrol,Individual,Manual,Third Owner,15,1196,70,5,15,1.9166583333333334
2108,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,1000000,65000,Diesel,Individual,Manual,First Owner,12,2494,100,8,9,15.384615384615385
2109,Maruti Wagon R VXI 1.2,2019,490000,10000,Petrol,Individual,Manual,First Owner,20,1197,81,5,6,49.0
2110,Hyundai i10 Sportz,2009,150000,80000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,16,1.875
2111,Maruti Ertiga VDI,2013,600000,184000,Diesel,Individual,Manual,First Owner,20,1248,88,7,12,3.260869565217391
2112,Maruti Wagon R CNG LXI,2013,270000,80000,CNG,Individual,Manual,Second Owner,32,998,58,5,12,3.375
2113,Maruti Zen LXi - BS III,2005,60000,70000,Petrol,Individual,Manual,Second Owner,17,993,60,5,20,0.8571428571428571
2114,Maruti SX4 Zxi with Leather BSIII,2008,150000,89000,Petrol,Individual,Manual,Second Owner,15,1586,104,5,17,1.6853932584269662
2115,Maruti Swift VDI,2013,525000,69000,Diesel,Individual,Manual,Second Owner,22,1248,74,5,12,7.608695652173913
2116,Tata Indica V2 eLX,2012,83000,90000,Diesel,Individual,Manual,Second Owner,25,1396,69,5,13,0.9222222222222223
2117,Hyundai EON Era Plus,2017,300000,8000,Petrol,Individual,Manual,First Owner,21,814,55,5,8,37.5
2118,Hyundai i20 1.2 Sportz,2012,350000,35000,Petrol,Individual,Manual,First Owner,17,1197,80,5,13,10.0
2119,Hyundai i20 1.2 Sportz,2011,300000,45000,Petrol,Individual,Manual,First Owner,17,1197,80,5,14,6.666666666666667
2120,Fiat Linea 1.3 Active,2011,250000,30000,Diesel,Individual,Manual,First Owner,20,1248,91,5,14,8.333333333333334
2121,Maruti 800 Std,2006,114999,59000,Petrol,Individual,Manual,Second Owner,16,796,37,4,19,1.949135593220339
2122,Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Individual,Manual,First Owner,19,1462,103,7,7,112.90322580645162
2123,Maruti Celerio X ZXI,2020,250000,120000,Petrol,Individual,Manual,Second Owner,21,998,67,5,5,2.0833333333333335
2124,Maruti Wagon R LXI BS IV,2016,350000,70000,Petrol,Individual,Manual,First Owner,20,998,67,5,9,5.0
2125,Maruti Omni 5 Str STD,1998,80000,70000,Petrol,Individual,Manual,First Owner,14,796,35,5,27,1.1428571428571428
2126,Mahindra Scorpio S2 7 Seater,2017,850000,110000,Diesel,Individual,Manual,First Owner,15,2523,75,7,8,7.7272727272727275
2127,Hyundai Santro Xing XG,2004,70000,158000,Petrol,Individual,Manual,First Owner,19,1430,87,5,21,0.4430379746835443
2128,Chevrolet Spark 1.0 LS,2007,90000,93000,Petrol,Individual,Manual,Third Owner,18,995,62,5,18,0.967741935483871
2129,Chevrolet Tavera Neo 3 10 Seats BSIII,2014,600000,110000,Diesel,Individual,Manual,First Owner,13,2499,72,10,11,5.454545454545454
2130,Maruti Alto LX,2007,135000,57000,Petrol,Individual,Manual,First Owner,19,796,46,5,18,2.3684210526315788
2131,Hyundai Accent GLE,2005,150000,120000,Petrol,Individual,Manual,First Owner,13,1495,94,5,20,1.25
2132,Maruti Swift Dzire VXi,2009,240000,120000,Petrol,Individual,Manual,First Owner,17,1298,85,5,16,2.0
2133,Hyundai Creta 1.4 E Plus,2018,946000,60000,Diesel,Individual,Manual,First Owner,22,1396,88,5,7,15.766666666666667
2134,Tata Indigo eCS LX BSIV,2011,215000,70000,Diesel,Individual,Manual,First Owner,23,1396,69,5,14,3.0714285714285716
2135,Maruti Zen LX,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17,993,60,5,26,0.8333333333333334
2136,Honda Amaze S i-Dtech,2013,310000,100000,Diesel,Individual,Manual,First Owner,25,1498,98,5,12,3.1
2137,Hyundai i10 Magna,2008,220000,35000,Petrol,Individual,Manual,First Owner,20,1197,78,5,17,6.285714285714286
2138,Maruti Swift Vdi BSIII,2008,195000,90000,Diesel,Individual,Manual,Third Owner,17,1248,75,5,17,2.1666666666666665
2139,Hyundai i20 Active 1.2 S,2015,650000,50000,Petrol,Individual,Manual,First Owner,17,1197,81,5,10,13.0
2140,Hyundai i20 1.2 Magna,2011,350000,98000,Petrol,Individual,Manual,First Owner,18,1197,80,5,14,3.5714285714285716
2141,Hyundai i20 Asta 1.2,2013,360000,30000,Petrol,Individual,Manual,First Owner,18,1197,82,5,12,12.0
2142,Hyundai Elantra SX,2013,550000,50000,Petrol,Individual,Manual,Second Owner,16,1797,147,5,12,11.0
2143,Hyundai Grand i10 Sportz,2016,490000,26000,Petrol,Individual,Manual,First Owner,18,1197,82,5,9,18.846153846153847
2144,Maruti Alto LXi,2011,195000,46000,Petrol,Individual,Manual,Second Owner,19,796,46,5,14,4.239130434782608
2145,Maruti Alto LX,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19,796,46,5,15,1.5625
2146,Tata Tiago 1.2 Revotron XZ,2019,459999,10000,Petrol,Individual,Manual,First Owner,23,1199,84,5,6,45.9999
2147,Maruti Alto 800 LXI,2015,275000,16700,Petrol,Individual,Manual,First Owner,22,796,47,5,10,16.46706586826347
2148,Maruti Swift Dzire VDI,2018,680000,70000,Diesel,Individual,Manual,First Owner,28,1248,74,5,7,9.714285714285714
2149,Maruti Swift Dzire ZXI,2015,600000,7967,Petrol,Individual,Manual,First Owner,20,1197,83,5,10,75.3106564578888
2150,Maruti Swift ZXI Plus,2018,720000,20000,Petrol,Individual,Manual,First Owner,22,1197,81,5,7,36.0
2151,Maruti Swift VDI BSIV,2011,295000,50000,Diesel,Individual,Manual,First Owner,19,1430,87,5,14,5.9
2152,Renault KWID RXT Optional,2016,356000,9656,Petrol,Individual,Manual,First Owner,25,799,53,5,9,36.868268434134215
2153,Hyundai i10 Era,2011,225000,50000,Petrol,Individual,Manual,First Owner,19,1086,68,5,14,4.5
2154,Ford Freestyle Titanium Diesel BSIV,2019,725000,17000,Diesel,Individual,Manual,First Owner,24,1498,98,5,6,42.64705882352941
2155,Chevrolet Spark 1.0 LT,2010,130000,50000,Petrol,Individual,Manual,First Owner,18,995,62,5,15,2.6
2156,Renault KWID RXT,2015,300000,10000,Petrol,Individual,Manual,First Owner,25,799,53,5,10,30.0
2157,Hyundai i20 Sportz 1.2,2013,400000,43000,Petrol,Individual,Manual,Second Owner,18,1197,82,5,12,9.30232558139535
2158,Hyundai Verna 1.4 CX,2013,550000,50000,Diesel,Individual,Manual,First Owner,23,1396,88,5,12,11.0
2159,Maruti Wagon R PRIMEA,2006,120000,90000,Petrol,Individual,Manual,Second Owner,18,998,67,5,19,1.3333333333333333
2160,Mahindra Xylo D4 BSIV,2012,409999,100000,Diesel,Individual,Manual,Second Owner,14,2498,112,8,13,4.09999
2161,Hyundai Santro Xing (Non-AC),2010,110000,80000,Petrol,Individual,Manual,Second Owner,0,1086,62,5,15,1.375
2162,Mahindra Bolero 2011-2019 SLX,2012,450000,120000,Diesel,Individual,Manual,First Owner,15,2523,62,7,13,3.75
2163,Maruti Swift VXI,2019,610000,5000,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,122.0
2164,Ford Ecosport 1.5 DV5 MT Trend,2016,515000,68609,Diesel,Dealer,Manual,First Owner,22,1498,89,5,9,7.506303837688933
2165,Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018,925000,33360,Diesel,Dealer,Manual,First Owner,22,1498,98,5,7,27.727817745803357
2166,Nissan Kicks XL BSIV,2019,860000,14317,Petrol,Dealer,Manual,First Owner,14,1498,104,5,6,60.068450094293496
2167,Ford Figo Diesel Titanium,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,20,1399,68,5,13,2.5791808521613535
2168,Ford Figo 1.5D Trend MT,2017,500000,62960,Diesel,Dealer,Manual,First Owner,25,1498,99,5,8,7.941550190597205
2169,Maruti Swift Dzire AMT VXI,2017,600000,26634,Petrol,Dealer,Automatic,First Owner,21,1197,81,5,8,22.527596305474205
2170,Ford Figo Diesel EXI Option,2012,195000,163720,Diesel,Dealer,Manual,First Owner,18,1399,68,5,13,1.1910579037380895
2171,Maruti Wagon R LXI BS IV,2012,265000,67998,Petrol,Dealer,Manual,First Owner,18,998,67,5,13,3.8971734462778316
2172,Ford Freestyle Trend Diesel,2018,650000,20706,Diesel,Dealer,Manual,First Owner,23,1499,98,5,7,31.391867091664253
2173,Ford Figo Aspire 1.5 TDCi Trend,2015,415000,100581,Diesel,Dealer,Manual,First Owner,25,1498,99,5,10,4.126027778606297
2174,Renault Duster 85PS Diesel RxE Adventure,2015,600000,67303,Diesel,Dealer,Manual,First Owner,20,1461,83,5,10,8.914907210674116
2175,Maruti Ritz VXi,2013,340000,79139,Petrol,Dealer,Manual,First Owner,18,1197,85,5,12,4.296238264319741
2176,Hyundai Grand i10 CRDi Sportz,2014,350000,84784,Diesel,Dealer,Manual,First Owner,24,1120,70,5,11,4.128137384412153
2177,Maruti Ritz LDi,2012,265000,130376,Diesel,Dealer,Manual,Second Owner,23,1248,73,5,13,2.0325826839295575
2178,Tata Safari DICOR 2.2 EX 4x2,2017,625000,72000,Diesel,Individual,Manual,First Owner,13,2179,138,7,8,8.680555555555555
2179,Hyundai Verna CRDi SX,2008,245000,127000,Diesel,Individual,Manual,Second Owner,16,1493,110,5,17,1.9291338582677164
2180,Maruti Swift VDI BSIV,2014,395000,120000,Diesel,Individual,Manual,First Owner,25,1248,74,5,11,3.2916666666666665
2181,Fiat Punto 1.3 Emotion,2010,190000,120000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,15,1.5833333333333333
2182,Hyundai Xcent 1.1 CRDi S,2014,490000,100000,Diesel,Individual,Manual,First Owner,24,1120,71,5,11,4.9
2183,Toyota Etios GD,2012,450000,148000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,13,3.0405405405405403
2184,Maruti Ertiga SHVS VDI,2018,955000,40000,Diesel,Individual,Manual,First Owner,24,1248,88,7,7,23.875
2185,Maruti Swift Dzire VDI,2013,525000,110000,Diesel,Individual,Manual,First Owner,23,1248,74,5,12,4.7727272727272725
2186,Tata Tigor 1.2 Revotron XZ Option,2017,550000,30000,Petrol,Individual,Manual,First Owner,20,1199,84,5,8,18.333333333333332
2187,Tata Indica Vista TDI LX,2014,200000,120000,Diesel,Individual,Manual,Second Owner,19,1405,70,5,11,1.6666666666666667
2188,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,500000,15000,Petrol,Individual,Manual,First Owner,18,1196,86,5,8,33.333333333333336
2189,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,825000,33500,Diesel,Individual,Manual,First Owner,23,1248,88,5,9,24.62686567164179
2190,Mahindra Quanto C6,2012,250000,70000,Diesel,Individual,Manual,First Owner,17,1493,100,7,13,3.5714285714285716
2191,Toyota Etios Cross 1.2L G,2015,600000,10000,Petrol,Individual,Manual,First Owner,18,1197,78,5,10,60.0
2192,Mahindra Scorpio S7 120,2018,1325000,22053,Diesel,Individual,Manual,First Owner,16,2179,120,7,7,60.08252845417857
2193,Mahindra TUV 300 T8,2016,770000,50000,Diesel,Individual,Manual,First Owner,18,1493,100,7,9,15.4
2194,Chevrolet Optra Magnum 2.0 LS,2011,415000,78432,Diesel,Individual,Manual,First Owner,16,1991,123,5,14,5.291207670338637
2195,Hyundai Santa Fe 4X4,2011,825000,125000,Diesel,Individual,Manual,Second Owner,14,2199,194,7,14,6.6
2196,Ford Aspire Trend Diesel BSIV,2018,530000,80000,Diesel,Individual,Manual,First Owner,26,1498,99,5,7,6.625
2197,Toyota Innova 2.5 V Diesel 8-seater,2006,425000,270000,Diesel,Individual,Manual,Third Owner,12,2494,102,8,19,1.5740740740740742
2198,Honda Brio V MT,2012,310000,50000,Petrol,Individual,Manual,Second Owner,19,1198,86,5,13,6.2
2199,Tata Tiago 1.2 Revotron XZ,2017,390000,20000,Petrol,Individual,Manual,First Owner,23,1199,84,5,8,19.5
2200,Hyundai Creta 1.6 VTVT E Plus,2016,700000,30000,Petrol,Individual,Manual,First Owner,15,1591,121,5,9,23.333333333333332
2201,Hyundai i10 Sportz 1.1L,2010,200000,70000,Petrol,Individual,Manual,Second Owner,19,1086,68,5,15,2.857142857142857
2202,Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1050000,7200,Diesel,Individual,Manual,First Owner,12,2494,100,8,12,145.83333333333334
2203,Honda City i DTEC SV,2014,580000,97000,Diesel,Individual,Manual,First Owner,26,1498,98,5,11,5.979381443298969
2204,Hyundai EON Era Plus,2014,200000,60000,Petrol,Individual,Manual,Second Owner,21,814,55,5,11,3.3333333333333335
2205,Chevrolet Sail Hatchback Petrol LS ABS,2013,245000,25000,Petrol,Individual,Manual,First Owner,18,1199,84,5,12,9.8
2206,Hyundai i10 Sportz,2010,210000,94000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,15,2.234042553191489
2207,Maruti Baleno LXI,2005,50000,90000,Petrol,Individual,Manual,Second Owner,15,1590,94,5,20,0.5555555555555556
2208,Chevrolet Captiva 2.2 LTZ AWD,2012,700000,50000,Diesel,Individual,Automatic,Second Owner,12,2231,184,7,13,14.0
2209,Tata Bolt Quadrajet XE,2019,660000,35000,Diesel,Individual,Manual,First Owner,22,1248,74,5,6,18.857142857142858
2210,Honda City i VTEC V,2015,630000,117500,Petrol,Individual,Manual,Second Owner,17,1497,117,5,10,5.361702127659575
2211,Mahindra XUV500 W8 2WD,2012,950000,78500,Diesel,Individual,Manual,First Owner,15,2179,140,7,13,12.101910828025478
2212,Hyundai i20 1.2 Asta Dual Tone,2018,740000,8000,Petrol,Individual,Manual,First Owner,18,1197,81,5,7,92.5
2213,Ford Figo Aspire 1.2 Ti-VCT Sports Edition,2017,570000,25000,Petrol,Individual,Manual,First Owner,18,1196,86,5,8,22.8
2214,Hyundai Verna 1.6 SX,2012,450000,60000,Diesel,Individual,Manual,Third Owner,22,1582,126,5,13,7.5
2215,Datsun RediGO 1.0 T Option,2019,390000,10000,Petrol,Individual,Manual,First Owner,22,999,67,5,6,39.0
2216,Ford Ikon 1.6 Nxt,2009,180000,70000,Petrol,Individual,Manual,Second Owner,14,1597,92,5,16,2.5714285714285716
2217,Tata Nano LX,2015,130000,60000,Petrol,Individual,Manual,First Owner,25,624,37,4,10,2.1666666666666665
2218,Honda City 2017-2020 GXi,2006,270000,70000,Petrol,Individual,Manual,Second Owner,17,1497,78,5,19,3.857142857142857
2219,Maruti 800 DX,1997,60000,25000,Petrol,Individual,Manual,Third Owner,16,796,37,4,28,2.4
2220,Hyundai Verna 1.6 Xi ABS,2006,170000,90000,Petrol,Individual,Manual,Third Owner,13,1599,103,5,19,1.8888888888888888
2221,Hyundai Creta 1.6 CRDi SX,2015,978999,90000,Diesel,Individual,Manual,First Owner,19,1582,126,5,10,10.877766666666666
2222,Tata Tiago 1.2 Revotron XM,2018,490000,25000,Petrol,Individual,Manual,First Owner,23,1199,84,5,7,19.6
2223,Ford Fiesta Diesel Style,2012,280000,60000,Diesel,Individual,Manual,Second Owner,23,1498,88,5,13,4.666666666666667
2224,Tata Tiago 1.2 Revotron XM,2018,390000,25000,Petrol,Individual,Manual,First Owner,23,1199,84,5,7,15.6
2225,Maruti Alto 800 VXI,2013,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,22,796,47,5,12,2.8333333333333335
2226,Chevrolet Spark 1.0,2008,45000,70000,Petrol,Individual,Manual,First Owner,18,995,62,5,17,0.6428571428571429
2227,Maruti Ertiga SHVS VDI,2016,640000,80000,Diesel,Individual,Manual,Second Owner,24,1248,88,7,9,8.0
2228,Mahindra Scorpio S2 9 Seater,2015,650000,110000,Diesel,Individual,Manual,Second Owner,15,2523,75,9,10,5.909090909090909
2229,Mahindra Scorpio LX,2013,500000,115717,Diesel,Individual,Manual,First Owner,12,2179,120,9,12,4.3208863001978965
2230,Ford Fusion Plus 1.4 TDCi Diesel,2008,90000,110000,Diesel,Individual,Manual,Second Owner,17,1399,68,5,17,0.8181818181818182
2231,Tata Aria Pure LX 4x2,2014,480000,70000,Diesel,Individual,Manual,Second Owner,15,2179,147,7,11,6.857142857142857
2232,Maruti Swift VXI,2019,630000,4000,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,157.5
2233,Hyundai i10 Sportz,2011,250000,50000,Petrol,Individual,Manual,First Owner,20,1197,78,5,14,5.0
2234,Hyundai Grand i10 Sportz,2016,330000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18,1197,82,5,9,4.714285714285714
2235,Hyundai i10 Magna,2009,180000,70000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,16,2.5714285714285716
2236,Hyundai i20 Magna,2010,210000,50000,Petrol,Individual,Manual,Second Owner,18,1197,80,5,15,4.2
2237,Maruti Swift Dzire ZDI,2016,550000,55000,Diesel,Individual,Manual,First Owner,26,1248,74,5,9,10.0
2238,Tata Nexon 1.2 Revotron XZA Plus,2020,950000,5000,Petrol,Individual,Automatic,First Owner,17,1198,108,5,5,190.0
2239,Mahindra Bolero 2011-2019 ZLX,2013,430000,100000,Diesel,Individual,Manual,Second Owner,15,2523,62,7,12,4.3
2240,Hyundai i10 Sportz,2014,348000,23000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,11,15.130434782608695
2241,Maruti Alto 800 LX,2014,196000,60000,Petrol,Individual,Manual,Second Owner,22,796,47,5,11,3.2666666666666666
2242,Maruti Wagon R LXI Minor,2010,150000,70000,Petrol,Individual,Manual,Second Owner,18,1061,67,5,15,2.142857142857143
2243,Hyundai Santro Xing XS eRLX Euro III,2005,90000,82000,Petrol,Individual,Manual,Fourth & Above Owner,19,1430,87,5,20,1.0975609756097562
2244,Maruti Wagon R LXI Minor,2009,150000,60000,Petrol,Individual,Manual,Second Owner,18,1061,67,5,16,2.5
2245,Tata Safari Storme VX Varicor 400,2019,1250000,100000,Diesel,Individual,Manual,First Owner,14,2179,153,7,6,12.5
2246,Maruti Ertiga VDI,2015,600000,90000,Diesel,Individual,Manual,Third Owner,20,1248,88,7,10,6.666666666666667
2247,Tata Nano Lx BSIV,2010,65000,26432,Petrol,Dealer,Manual,First Owner,25,624,37,4,15,2.459140435835351
2248,Maruti Omni E 8 Str STD,2016,220000,46702,Petrol,Dealer,Manual,First Owner,16,796,34,8,9,4.710719027022398
2249,Maruti Omni E 8 Str STD,2016,220000,46706,Petrol,Dealer,Manual,First Owner,16,796,34,8,9,4.710315591144607
2250,Tata Indica V2 eXeta GLS,2006,110000,53523,Petrol,Dealer,Manual,First Owner,16,1193,64,5,19,2.0551912262018197
2251,Chevrolet Beat Diesel LT,2012,175000,56365,Diesel,Dealer,Manual,First Owner,25,936,56,5,13,3.104763594429167
2252,Chevrolet Spark 1.0 LT,2011,160000,49563,Petrol,Dealer,Manual,First Owner,16,995,62,5,14,3.22821459556524
2253,Maruti 800 Std BSIII,2004,65000,56432,Petrol,Dealer,Manual,First Owner,16,796,37,4,21,1.1518287496455912
2254,Maruti 800 AC,2002,60000,52365,Petrol,Dealer,Manual,Second Owner,16,796,37,4,23,1.1458034947006588
2255,Maruti Alto LXi BSIII,2007,120000,53512,Petrol,Dealer,Manual,Second Owner,19,796,46,5,18,2.2424876663178352
2256,Hyundai Santro Xing XG,2005,110000,53563,Petrol,Dealer,Manual,Second Owner,19,1430,87,5,20,2.0536564419468664
2257,Mahindra Ssangyong Rexton RX7,2013,1000000,40000,Diesel,Individual,Automatic,First Owner,11,2696,184,7,12,25.0
2258,Maruti Wagon R LXI BS IV,2010,220000,46533,Petrol,Dealer,Manual,First Owner,18,998,67,5,15,4.727827563234694
2259,Maruti Omni E 8 Str STD,2005,105000,59635,Petrol,Dealer,Manual,Second Owner,19,1430,87,5,20,1.7607109918671922
2260,Maruti Omni 8 Seater BSIV,2008,114999,58632,Petrol,Dealer,Manual,Second Owner,14,796,35,5,17,1.9613692181743758
